licence_valid,licence_num,licence_debut,licence_fin,licence_type,licence_quit,licence_montant,licence_zone,licence_debarq,licence_moteur,licence_puis,licence_engin,licence_copé,id_pirogue,id,Code2,licence_date,licence_res,Pech_date_saisie,Lic_val
2011,947,5/2/11,12/31/11,Sardines,721681,150000,Estuaire-Komo,Bac Aviation,Yamaha,40,Filet sardine,,602,655,0,,FALSE,,FALSE
2011,851,4/11/11,12/31/11,Gros poissons,720047,100000,Estuaire-Komo,Razel,Yamaha,40,Filet maillant de fond,,388,656,0,,FALSE,,FALSE
2011,852,4/11/11,12/31/11,Gros poissons,720050,100000,Estuaire-Komo,Razel,Yamaha,40,Filet maillant de fond,,603,657,0,,FALSE,,FALSE
2011,853,4/11/11,12/31/11,Sardines,720074,150000,Estuaire-Komo,Grande Poubelle,Yamaha,40,Filet sardine,,207,658,0,,FALSE,,FALSE
2011,854,4/11/11,12/31/11,Petits poissons,720077,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,294,659,0,,FALSE,,FALSE
2011,855,4/11/11,12/31/11,Mulets,719993,150000,Estuaire-Komo,Lalala,Mariner,25,Filet sardine,,604,660,0,,FALSE,,FALSE
2011,856,4/12/11,12/31/11,Sardines,720182,200000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine (Tiré-tiré),,206,661,0,,FALSE,,FALSE
2011,857,4/12/11,12/31/11,Petits poissons,720199,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,605,662,0,,FALSE,,FALSE
2011,858,4/12/11,12/31/11,Petits poissons,720200,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,199,663,0,,FALSE,,FALSE
2011,859,4/12/11,12/31/11,Petits poissons,720202,150000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet maillant surface,,606,664,0,,FALSE,,FALSE
2011,860,4/12/11,12/31/11,Petits poissons,720204,150000,Estuaire-Komo,Pont Nomba,Mariner,40,Filet maillant surface,,607,665,0,,FALSE,,FALSE
2011,861,4/13/11,12/31/11,Petits poissons,720332,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,608,666,0,,FALSE,,FALSE
2011,862,4/13/11,12/31/11,Sardines,720336,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet sardine,,609,667,0,,FALSE,,FALSE
2011,863,4/13/11,12/31/11,Sardines,720365,150000,Estuaire-Komo,Grande Poubelle,Yamaha,40,Filet sardine,,610,668,0,,FALSE,,FALSE
2011,864,4/13/11,12/31/11,Petits poissons,720366,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,611,669,0,,FALSE,,FALSE
2011,865,4/13/11,12/31/11,Petits poissons,120367,150000,Estuaire-Komo,BTI,Yamaha,40,Filet maillant surface,,612,670,0,,FALSE,,FALSE
2011,866,4/13/11,12/31/11,Sardines,720368,150000,Estuaire-Komo,BTI,Yamaha,40,Filet sardine,,288,671,0,,FALSE,,FALSE
2011,867,4/13/11,12/31/11,Sardines,720369,150000,Estuaire-Komo,BTI,Yamaha,40,Filet maillant surface,,289,672,0,,FALSE,,FALSE
2011,868,4/13/11,12/31/11,Sardines,720371,100000,,Pont Nomba,Yamaha,40,Filet sardine,,613,673,0,,FALSE,,FALSE
2011,869,4/13/11,12/31/11,Sardines,720740,100000,Estuaire-Komo,Soduco,Yamaha,40,Filet sardine,,268,674,0,,FALSE,,FALSE
2011,870,4/13/11,12/31/11,Sardines,720080,100000,Estuaire-Komo,Grande Poubelle,Yamaha,40,Filet sardine,,614,675,0,,FALSE,,FALSE
2011,871,4/13/11,12/31/11,Sardines,720084,100000,Estuaire-Komo,BTI,Yamaha,40,Filet sardine,,615,676,0,,FALSE,,FALSE
2011,872,4/15/11,12/31/11,Petits poissons,720591,150000,Estuaire-Komo,Pont Nomba,Yamaha,40,Filet maillant surface,,616,677,0,,FALSE,,FALSE
